snoring,respirationrate,bodytemperature,sleepinghours,heartrate,stresslevel
69,6,100.2,5.28,96,4
64,24,99.64,6.17,86,3
52,11,99.26,9.29,59,2
50,22,96.69,9.24,58,2
33,17,97.22,7.01,61,1
62,9,99.98,5.75,89,3
71,6,95.22,5.31,48,4
51,22,99.15,9.27,56,2
52,21,96.76,6.83,56,2
84,4,109.3,1.18,120,5
57,25,96.01,6.04,90,3
72,7,95.05,10.3,47,4
66,7,100.39,5.23,95,4
60,9,99.88,6.15,87,3
42,13,97.36,8.64,80,1
64,26,99.93,6.23,88,3
40,20,98.52,7.8,74,1
41,20,97.16,7.05,73,1
72,6,95.49,10.13,94,4
81,1,83.12,1.57,40,5
82,0,83.07,3.56,35,5
40,15,97.97,7.24,78,1
46,23,96.65,9.34,85,2
47,21,96.53,6.89,56,2
37,14,97.64,7.82,80,1
80,34,109.27,1.45,41,5
42,14,98.46,8.12,74,1
58,25,96.02,5.6,86,3
78,1,106.84,2.1,123,5
81,5,80.76,0.6,125,5
68,30,95.64,5.3,92,4
52,10,96.6,9.16,55,2
87,3,105.46,3.76,111,5
73,6,100.62,10.13,98,4
50,11,96.66,9.01,85,2
61,8,99.6,6.36,89,3
53,11,96.54,9.34,55,2
63,8,96.24,6.03,90,3
84,0,106.2,0.35,129,5
70,6,100.28,5.29,98,4
84,32,109.74,2.58,117,5
72,28,100.25,10.05,99,4
47,21,99.24,6.84,85,2
85,31,106.7,2.14,42,5
89,2,108.28,1.5,122,5
55,21,99.43,6.87,84,2
87,3,108.75,2.31,121,5
46,10,96.81,9.26,82,2
69,28,95.09,10.24,45,4
88,0,105.11,0.66,39,5
37,19,98.15,7.77,67,1
34,13,98.77,7.48,60,1
69,30,95.68,10.32,45,4
62,24,95.99,5.52,50,3
48,11,96.63,9.04,82,2
39,12,97.03,7.79,70,1
53,11,99.34,6.73,82,2
65,8,96.38,5.77,51,3
66,27,100.48,10.32,47,4
61,8,99.73,6.23,53,3
35,15,98.81,7.6,76,1
80,36,106.7,1.15,39,5
64,26,99.8,5.77,90,3
87,4,80.49,2.04,36,5
36,19,97.02,8.9,80,1
46,22,99.28,6.77,85,2
58,26,99.91,5.83,50,3
40,18,98.43,8.94,79,1
87,31,81.65,2.23,37,5
40,15,97.43,7.29,72,1
70,7,100.56,10.18,49,4
70,6,95.35,5.33,95,4
61,9,96.03,6.1,87,3
46,11,99.16,9.23,59,2
43,16,98.14,7.32,64,1
76,4,107.06,2.15,43,5
37,12,98.06,8.64,62,1
46,21,99.25,9.21,82,2
78,33,81.84,3.11,41,5
59,25,99.7,5.8,54,3
47,22,99.17,9.19,84,2
68,7,95.56,5.33,49,4
55,21,99.37,9.32,55,2
32,15,98.19,7.44,75,1
90,4,83.83,3.59,119,5
70,29,100.51,10.42,95,4
44,20,97.19,7.33,79,1
60,24,96.34,5.79,90,3
56,25,99.86,5.69,50,3
49,22,96.74,9.22,84,2
56,26,99.87,6.18,51,3
33,15,98.33,7.02,61,1
84,32,105.07,2.59,36,5
81,32,109.03,2.05,41,5
44,16,97.06,8.92,63,1
88,33,84.6,3.12,43,5
50,22,96.89,6.7,55,2
72,30,95.68,5.1,96,4
34,20,98.96,7.62,71,1
35,13,98.5,8.05,69,1
53,23,96.52,9.35,58,2
38,13,98.46,8.87,63,1
42,18,98.61,8.07,69,1
43,16,98.76,8.19,63,1
37,20,98.93,8.89,65,1
83,2,81.55,3.19,111,5
55,22,96.79,6.8,59,2
79,0,109.71,3.79,114,5
49,10,96.67,9.03,55,2
88,32,106.69,1.36,44,5
89,38,106.77,3.28,42,5
50,10,96.9,9.09,84,2
67,6,100.29,5.16,46,4
46,21,96.83,6.7,85,2
51,10,96.81,9.04,57,2
68,28,100.31,10.44,47,4
49,23,96.83,6.56,81,2
71,28,95.13,5.01,98,4
53,22,96.54,9.06,82,2
47,11,99.14,6.66,82,2
64,9,96.23,6.36,90,3
76,3,80.85,3.16,37,5
70,6,100.34,10.48,97,4
87,38,108.01,0.66,39,5
76,34,81.68,3.3,121,5
37,15,98.96,8.94,65,1
58,24,99.74,5.78,86,3
58,24,95.94,5.7,53,3
41,12,97.52,8.2,80,1
77,3,109.89,3.95,41,5
30,20,98.32,7.38,61,1
33,19,97.78,7.97,60,1
61,8,96.27,5.76,50,3
67,6,100.32,5.01,97,4
63,26,96.0,5.58,89,3
87,3,107.27,2.87,36,5
47,23,99.28,9.08,57,2
61,25,96.23,5.86,87,3
55,10,96.71,9.28,58,2
32,20,97.81,8.32,76,1
39,19,97.15,7.14,79,1
41,17,98.15,7.38,65,1
58,8,95.92,5.78,50,3
69,6,95.61,5.34,95,4
42,19,97.68,8.73,76,1
32,14,98.68,8.38,64,1
70,27,100.29,10.37,94,4
84,0,81.39,3.91,116,5
69,6,100.23,5.2,93,4
59,8,99.78,6.15,90,3
36,19,98.98,7.51,75,1
64,9,95.91,6.22,87,3
67,29,100.64,5.16,45,4
37,15,98.29,8.55,62,1
88,1,82.56,2.92,118,5
47,11,99.23,6.76,58,2
45,13,98.36,8.25,72,1
73,27,95.61,5.26,49,4
86,31,81.7,2.11,35,5
50,11,96.68,9.2,57,2
78,31,82.35,2.95,127,5
32,12,98.83,7.58,70,1
70,27,95.52,10.14,99,4
81,32,82.7,2.42,126,5
59,8,95.96,5.78,53,3
46,22,96.65,6.85,58,2
39,13,98.5,7.64,78,1
52,23,96.53,6.83,84,2
61,25,96.38,5.68,88,3
52,11,99.34,9.26,84,2
50,23,96.56,6.65,84,2
70,28,95.32,10.25,96,4
72,28,100.64,10.36,96,4
32,13,97.55,7.63,76,1
49,11,96.8,6.59,83,2
53,11,96.6,6.75,55,2
66,28,100.51,10.23,100,4
60,9,96.17,6.3,54,3
62,8,96.35,5.57,87,3
43,19,98.93,8.92,71,1
80,39,109.04,1.24,44,5
71,7,95.06,10.16,97,4
49,21,96.77,6.64,84,2
64,25,99.64,5.5,53,3
59,25,96.37,6.01,90,3
56,26,99.69,6.11,54,3
33,19,98.15,7.9,78,1
74,7,100.4,10.31,95,4
31,19,97.33,7.34,73,1
34,19,97.27,7.06,73,1
32,17,98.14,7.77,79,1
72,28,95.78,10.11,49,4
71,7,100.25,5.19,96,4
68,27,100.24,10.3,48,4
76,4,84.83,1.18,39,5
30,14,98.05,8.23,60,1
68,7,100.19,5.23,45,4
59,25,99.62,6.22,87,3
80,34,108.86,1.84,40,5
46,10,99.28,6.79,81,2
74,7,100.16,10.41,93,4
52,10,99.45,9.01,56,2
72,6,95.36,10.49,48,4
62,8,99.94,6.06,53,3
81,5,107.89,1.66,43,5
55,22,96.57,6.55,59,2
55,22,96.53,6.61,81,2
46,11,96.7,9.09,85,2
73,6,100.41,5.38,46,4
62,26,99.71,6.17,90,3
83,32,84.83,3.23,38,5
58,8,96.26,5.74,86,3
58,24,99.93,5.53,53,3
82,32,108.83,3.15,123,5
54,10,99.28,6.73,58,2
51,22,99.42,6.67,84,2
79,39,105.23,1.23,44,5
61,9,96.27,6.23,52,3
40,18,98.54,8.96,66,1
85,36,105.98,2.48,38,5
41,20,97.93,7.22,64,1
84,32,82.32,1.47,42,5
56,8,96.01,5.71,52,3
89,0,109.78,3.58,44,5
65,9,96.28,5.88,87,3
60,26,99.7,6.39,54,3
64,25,96.3,5.8,51,3
61,25,99.91,6.09,54,3
71,6,100.64,5.3,95,4
71,7,95.6,10.01,95,4
83,35,106.41,3.14,122,5
46,21,99.19,9.29,84,2
50,11,96.71,6.51,85,2
50,10,96.53,9.31,83,2
87,37,109.14,2.0,35,5
63,8,99.7,5.84,87,3
49,11,96.9,9.19,84,2
41,13,97.61,7.92,79,1
78,33,82.55,3.75,38,5
46,10,96.69,9.03,59,2
62,25,99.75,6.25,51,3
66,28,100.38,10.14,91,4
30,13,97.36,8.24,64,1
61,8,99.88,6.37,51,3
41,16,98.12,8.62,66,1
55,10,99.45,6.56,83,2
56,26,99.97,5.79,88,3
68,30,95.42,10.12,97,4
42,18,98.34,8.39,71,1
58,26,96.38,5.58,51,3
34,14,97.56,8.02,65,1
66,27,100.43,10.28,99,4
66,6,95.58,10.26,98,4
59,26,96.12,5.77,54,3
89,5,108.29,0.04,120,5
75,29,95.56,10.01,46,4
40,18,98.61,7.79,75,1
48,21,99.49,9.24,82,2
72,6,100.44,5.36,46,4
52,11,96.58,6.89,85,2
73,27,100.33,5.19,92,4
55,10,96.54,6.89,83,2
40,16,98.05,7.13,76,1
41,12,98.5,8.54,71,1
72,30,100.64,10.02,99,4
64,9,99.65,6.26,86,3
71,6,95.51,5.0,46,4
78,0,80.46,2.51,126,5
47,22,99.13,9.4,57,2
71,27,100.54,5.1,47,4
56,8,99.93,6.31,50,3
66,29,100.57,5.26,91,4
50,23,99.11,6.77,58,2
39,17,97.52,8.8,71,1
62,8,99.98,6.19,50,3
54,11,99.38,6.85,59,2
85,39,108.67,0.66,39,5
61,9,96.38,6.06,51,3
39,17,97.06,7.9,74,1
38,16,97.26,7.36,62,1
35,18,98.48,8.04,79,1
36,15,98.03,8.93,70,1
35,20,98.15,7.63,80,1
32,18,98.55,8.48,70,1
53,10,96.8,9.39,84,2
47,21,99.44,6.81,81,2
65,9,99.76,6.08,86,3
70,27,95.01,10.4,92,4
89,3,107.2,3.1,111,5
56,24,96.4,5.6,50,3
75,6,100.64,5.39,48,4
66,30,100.47,10.32,49,4
65,24,99.97,5.61,51,3
82,1,106.14,2.05,38,5
43,16,97.76,7.54,64,1
74,28,95.66,5.31,46,4
54,10,96.56,6.84,55,2
59,8,96.35,5.55,89,3
59,26,96.07,6.0,50,3
32,13,98.19,7.92,65,1
78,39,84.77,3.62,42,5
56,8,96.02,5.55,88,3
67,6,100.19,10.31,97,4
50,10,99.25,6.77,56,2
49,21,96.59,9.34,55,2
72,7,100.32,10.4,47,4
65,8,96.18,5.59,52,3
72,27,100.12,5.1,49,4
87,35,81.73,3.67,40,5
75,28,95.62,10.07,95,4
79,4,109.83,3.76,118,5
57,9,99.88,6.01,53,3
62,26,99.65,6.03,89,3
50,21,99.16,6.87,56,2
80,3,81.48,1.73,110,5
45,19,97.28,8.82,72,1
56,26,95.93,6.08,87,3
70,6,95.61,10.43,95,4
58,24,95.98,5.81,86,3
31,19,97.03,7.12,72,1
60,8,99.67,6.31,50,3
64,9,96.01,6.33,87,3
32,18,98.82,7.51,80,1
41,15,97.41,7.15,71,1
71,30,100.33,10.45,92,4
72,29,100.41,5.01,48,4
52,23,96.75,6.51,81,2
68,6,95.02,10.36,49,4
36,20,97.61,7.08,68,1
88,38,83.43,2.35,113,5
64,26,96.02,5.77,50,3
62,25,99.62,5.71,88,3
57,24,99.85,6.23,52,3
43,19,98.78,7.87,60,1
71,6,100.18,5.01,47,4
62,26,99.7,5.79,54,3
62,8,95.94,5.58,54,3
71,6,100.69,5.0,49,4
81,4,82.14,0.35,35,5
64,26,99.99,6.22,87,3
70,28,100.36,5.19,45,4
84,39,80.51,1.32,41,5
73,28,95.59,10.44,47,4
67,6,95.49,5.17,47,4
32,13,98.62,7.84,60,1
34,13,98.08,7.15,63,1
49,10,96.53,9.15,81,2
74,27,100.63,10.43,45,4
87,3,84.51,2.97,111,5
57,9,96.28,6.02,90,3
57,26,96.15,6.21,54,3
42,18,98.13,8.05,62,1
72,28,95.12,10.08,49,4
43,13,97.97,7.44,77,1
72,6,100.35,5.17,99,4
50,11,99.44,9.05,83,2
79,32,82.07,3.23,42,5
31,15,97.91,7.93,64,1
89,40,108.33,3.42,44,5
32,13,98.94,8.19,72,1
75,6,100.19,5.31,47,4
39,20,97.57,8.29,64,1
69,28,100.44,10.12,97,4
51,10,99.15,9.08,81,2
65,8,96.24,5.84,54,3
84,2,109.65,1.87,38,5
44,20,98.76,8.92,75,1
42,12,98.18,7.99,73,1
73,28,100.34,10.02,48,4
75,27,95.44,10.43,92,4
63,26,99.93,5.85,50,3
71,30,95.48,5.35,47,4
50,22,99.35,6.85,81,2
61,24,96.29,6.18,53,3
53,21,99.24,6.54,56,2
38,16,98.91,7.57,62,1
33,17,98.31,8.02,64,1
63,9,99.73,6.31,90,3
67,28,95.37,5.33,46,4
43,15,97.66,7.7,71,1
41,18,97.44,8.86,70,1
73,29,95.16,10.01,97,4
31,18,98.73,8.58,71,1
59,24,96.21,6.11,54,3
50,22,99.43,9.12,58,2
39,16,97.98,7.08,75,1
73,28,100.44,10.36,92,4
71,6,95.63,5.09,100,4
66,7,100.47,5.07,49,4
80,34,84.98,3.82,129,5
72,29,95.18,10.11,47,4
59,9,99.79,5.85,52,3
82,32,80.25,1.84,129,5
33,12,98.21,8.59,61,1
60,9,96.38,5.78,51,3
59,26,99.96,5.86,51,3
45,19,98.83,8.44,75,1
36,14,97.78,7.36,61,1
81,1,106.53,0.65,123,5
60,8,95.92,5.69,50,3
34,13,98.5,8.35,63,1
47,10,96.75,6.56,55,2
54,10,99.29,9.03,59,2
40,16,98.6,7.93,60,1
57,25,96.04,5.59,89,3
71,6,100.48,10.21,48,4
36,15,97.71,7.65,78,1
68,30,95.56,5.38,49,4
42,20,97.38,8.12,76,1
64,8,99.68,5.63,88,3
60,8,96.38,5.76,53,3
73,6,100.61,5.05,98,4
56,25,95.94,6.27,89,3
80,5,109.51,2.14,127,5
58,26,99.78,6.08,86,3
53,10,99.16,6.9,85,2
47,10,96.54,9.23,58,2
65,24,99.78,6.17,87,3
74,30,100.38,10.5,48,4
88,35,81.82,2.85,37,5
57,8,96.37,5.67,52,3
60,8,96.39,5.8,50,3
81,31,83.2,3.66,41,5
71,29,95.11,5.09,98,4
71,28,100.6,5.19,48,4
53,10,99.44,9.29,82,2
63,25,99.61,5.58,53,3
87,5,105.9,1.28,115,5
37,13,97.56,8.02,68,1
66,30,100.23,10.35,47,4
72,6,95.8,5.11,95,4
48,21,96.86,6.76,59,2
59,8,96.08,5.61,89,3
82,1,109.39,1.14,35,5
75,29,95.05,10.36,93,4
51,10,99.47,9.08,82,2
40,12,97.95,7.54,79,1
74,6,95.69,5.21,48,4
50,11,99.49,6.72,55,2
34,17,97.18,7.01,69,1
61,8,96.14,6.34,86,3
53,23,96.64,6.8,59,2
73,29,100.28,5.22,96,4
47,10,99.31,6.74,81,2
63,25,96.09,5.65,52,3
51,10,99.49,9.29,85,2
85,37,84.5,1.19,43,5
84,4,109.45,0.18,39,5
58,26,96.04,6.02,51,3
74,29,100.65,10.19,49,4
60,24,96.13,6.1,89,3
71,6,100.36,5.15,92,4
62,24,96.05,5.7,90,3
52,10,96.88,9.11,57,2
33,15,98.71,7.79,76,1
61,9,99.76,5.64,54,3
54,23,99.19,9.26,57,2
65,25,95.91,5.67,52,3
74,27,95.8,10.46,45,4
62,24,99.88,6.07,87,3
50,10,96.59,9.29,84,2
81,3,81.59,3.23,37,5
82,5,105.84,0.29,40,5
81,40,106.61,1.52,43,5
53,11,99.48,6.56,81,2
46,11,96.76,6.58,59,2
30,17,97.97,8.16,79,1
46,22,96.76,9.46,58,2
67,6,95.76,5.31,100,4
71,27,95.02,5.24,98,4
47,11,99.13,6.57,81,2
60,8,99.65,6.07,88,3
72,29,100.35,5.4,100,4
33,20,98.22,8.53,79,1
76,5,107.46,1.89,42,5
48,11,99.49,6.83,81,2
61,24,96.26,6.35,54,3
73,29,100.16,5.07,98,4
74,6,100.11,5.34,47,4
37,19,97.03,8.18,68,1
79,39,81.86,3.92,129,5
56,24,96.33,5.59,86,3
74,7,95.05,5.11,47,4
47,10,99.22,6.57,81,2
82,1,107.84,2.6,41,5
83,2,107.24,1.49,37,5
66,6,100.56,5.06,45,4
70,7,95.64,10.33,99,4
61,8,99.86,6.01,50,3
68,6,100.3,5.3,99,4
51,22,96.9,6.88,83,2
58,26,99.75,6.29,88,3
63,24,99.88,5.56,87,3
55,23,96.81,9.1,55,2
31,12,97.57,8.06,69,1
40,16,98.04,8.18,60,1
82,32,82.26,3.55,42,5
83,35,84.92,1.38,114,5
43,18,98.82,7.48,64,1
49,11,96.6,6.62,83,2
37,13,98.98,8.09,64,1
35,16,97.09,8.94,64,1
62,25,99.97,6.25,50,3
68,6,100.6,10.24,45,4
39,12,97.06,7.84,75,1
64,25,99.79,5.66,90,3
65,9,99.8,6.25,90,3
67,6,100.35,5.25,46,4
45,15,97.05,7.74,75,1
48,22,96.51,9.11,58,2
86,33,106.74,1.13,38,5
72,7,95.63,5.34,48,4
49,10,99.35,9.48,85,2
82,2,84.66,3.8,111,5
67,29,100.31,10.49,48,4
52,11,96.65,9.46,84,2
53,23,99.27,9.49,59,2
73,6,95.05,5.15,46,4
73,30,95.03,5.23,96,4
68,30,100.34,10.4,45,4
68,29,95.58,10.23,49,4
56,24,96.34,5.65,51,3
69,6,95.44,5.18,46,4
73,6,100.59,10.34,98,4
63,25,99.66,5.71,52,3
74,6,95.57,10.34,49,4
64,8,99.64,5.6,53,3
89,40,82.07,0.52,123,5
55,10,99.14,9.4,59,2
85,3,108.14,1.49,129,5
74,30,100.18,10.37,91,4
66,30,95.13,5.4,97,4
79,5,81.46,2.18,114,5
75,28,100.43,10.23,96,4
55,10,99.21,9.27,57,2
67,28,95.42,10.48,95,4
90,0,109.36,3.35,35,5
65,9,99.96,6.28,90,3
65,26,99.92,6.23,86,3
63,9,95.97,5.77,51,3
64,24,96.34,6.3,52,3
39,16,98.02,8.63,69,1
43,20,97.65,7.91,72,1
88,40,107.69,1.41,121,5
41,16,97.49,8.38,68,1
47,21,99.47,6.55,84,2
88,3,108.31,1.3,128,5
58,24,99.87,6.27,87,3
80,39,84.66,2.34,41,5
84,32,108.99,3.48,130,5
54,23,96.72,6.81,59,2
32,19,97.05,7.2,71,1
57,24,96.2,5.74,88,3
85,0,81.77,0.79,44,5
88,39,80.75,0.16,117,5
64,8,99.83,6.36,52,3
34,14,98.72,7.88,70,1
72,30,95.41,10.02,91,4
72,7,100.66,10.29,49,4
81,0,106.05,2.23,41,5
76,2,109.9,3.99,37,5
37,18,97.73,7.26,76,1
57,25,99.98,6.17,90,3
78,1,84.35,3.4,38,5
84,5,84.64,0.2,41,5
69,29,95.77,10.34,49,4
82,34,108.48,0.01,42,5
74,6,100.68,5.17,45,4
76,36,105.21,0.07,36,5
53,11,96.79,6.66,57,2
55,23,96.8,9.17,56,2
90,3,106.33,2.18,113,5
65,8,99.81,6.33,52,3
69,29,100.53,10.34,93,4
87,32,82.94,1.15,129,5
44,19,97.12,7.74,62,1
86,31,84.87,0.75,35,5
33,15,97.95,8.55,76,1
65,26,99.68,6.31,53,3
62,24,96.25,5.87,50,3
42,19,98.75,7.93,64,1
41,18,98.99,8.42,79,1
40,14,98.69,8.21,71,1
63,9,99.7,5.54,86,3
81,39,106.64,0.95,37,5
80,2,80.02,1.26,40,5
69,28,95.73,5.28,47,4
53,22,96.62,6.64,85,2
55,21,99.23,6.9,85,2
46,10,96.76,6.73,55,2
62,9,96.15,6.26,86,3
33,15,97.58,7.99,80,1
46,23,96.85,9.44,82,2
83,5,106.3,1.64,112,5
45,20,98.82,7.56,77,1
88,5,109.79,3.15,126,5
43,18,97.54,7.35,69,1
51,10,96.69,6.87,58,2
52,23,96.79,6.64,55,2
52,10,96.62,9.27,57,2
32,15,97.92,8.69,76,1
76,36,106.56,1.81,43,5
50,10,96.56,9.34,81,2
52,22,96.71,6.53,58,2
53,10,96.65,6.87,59,2
74,7,100.23,5.23,99,4
50,22,96.51,9.12,59,2
70,29,95.64,10.27,49,4
61,26,96.33,6.16,90,3
51,10,99.18,6.81,82,2
59,25,96.07,6.14,51,3
74,29,95.41,5.02,97,4
67,7,95.13,10.18,98,4
78,36,84.7,3.01,123,5
39,19,97.39,8.26,80,1
45,14,97.89,7.64,66,1
67,27,95.44,5.13,45,4
83,34,105.61,0.88,120,5
46,11,96.85,9.02,85,2
85,31,108.45,1.95,43,5
51,11,96.51,6.75,84,2
79,5,109.57,3.31,110,5
82,37,108.58,2.1,128,5
61,24,99.85,6.35,87,3
59,9,95.91,5.71,88,3
90,33,105.9,0.14,35,5
79,31,80.42,0.14,110,5
53,11,99.35,9.25,59,2
58,9,96.05,5.58,90,3
30,14,97.33,8.79,70,1
52,10,96.8,9.04,81,2
49,11,96.56,9.24,81,2
33,14,98.06,7.7,62,1
89,36,105.46,3.12,127,5
84,32,107.84,0.04,124,5
69,29,95.23,5.05,49,4
41,20,98.96,7.11,63,1
36,17,97.32,8.24,80,1
76,35,105.16,1.56,42,5
44,15,98.77,8.19,80,1
71,27,100.59,10.37,97,4
60,24,95.97,6.16,54,3
61,25,99.92,5.84,54,3
47,21,99.49,6.75,82,2
71,6,100.56,5.19,99,4
56,25,96.38,5.85,87,3
57,9,95.93,6.37,54,3
52,11,99.13,9.45,57,2
31,15,97.43,8.62,62,1
62,24,99.62,6.26,86,3
50,22,99.26,9.26,59,2
31,12,97.77,7.59,69,1
45,14,97.3,8.48,65,1
33,18,99.0,8.14,69,1
43,15,97.81,7.29,69,1
53,21,99.26,6.84,82,2
54,11,96.85,9.36,57,2
61,9,96.08,5.55,51,3
87,38,80.97,0.51,44,5
59,24,99.74,5.57,86,3
68,29,95.21,5.03,46,4
32,13,98.14,7.34,77,1
43,16,97.85,7.82,69,1
51,22,96.79,6.67,59,2
58,26,95.97,6.04,50,3
50,11,99.17,6.78,83,2
64,9,99.88,5.88,53,3
62,24,99.69,6.11,53,3
74,6,95.56,10.14,45,4
74,29,100.14,5.38,100,4
60,9,99.65,5.88,51,3
31,18,98.83,7.94,65,1
37,12,98.13,7.21,67,1
61,25,99.77,5.69,51,3
50,23,96.59,6.79,84,2
55,11,99.22,9.1,55,2
60,8,99.61,5.57,86,3
66,7,100.45,10.39,48,4
72,6,95.68,10.3,94,4
48,10,96.87,6.87,85,2
77,32,109.87,2.29,121,5
32,14,98.69,8.01,79,1
54,10,99.21,9.06,58,2
71,27,95.51,5.12,45,4
31,20,98.64,7.43,78,1
41,15,97.62,8.51,64,1
71,7,100.39,5.04,98,4
47,10,99.41,9.03,55,2
75,7,95.25,10.07,96,4
48,21,96.74,6.53,57,2
64,8,96.33,6.03,90,3
76,33,81.78,0.03,121,5
34,19,97.79,8.52,75,1
62,26,99.65,6.14,90,3
55,10,96.67,6.8,56,2
51,23,99.35,6.66,57,2
48,23,96.65,6.51,83,2
33,17,97.75,7.04,65,1
55,22,99.12,9.09,56,2
75,6,100.29,10.43,47,4
51,21,96.57,9.31,55,2
43,16,98.71,7.35,76,1
63,9,99.63,5.57,53,3
72,6,100.49,10.25,49,4
74,30,95.25,5.36,46,4
75,29,100.19,5.24,48,4
77,32,109.58,4.0,37,5
39,13,98.22,7.45,79,1
57,9,99.66,5.75,50,3
42,14,97.89,8.53,68,1
42,16,97.73,7.54,65,1
41,18,97.62,7.86,70,1
72,27,95.41,10.15,93,4
40,15,97.47,8.4,62,1
71,27,95.42,10.48,93,4
64,24,99.68,5.51,52,3
64,8,99.73,5.6,54,3
55,22,99.13,9.49,57,2
83,39,81.93,0.79,130,5
34,19,97.82,8.23,79,1
79,5,105.28,3.75,44,5
55,22,96.79,6.53,58,2
89,0,106.97,2.47,127,5
50,23,99.46,6.52,81,2
75,27,100.33,10.26,100,4
73,29,95.44,10.24,46,4
85,40,109.88,0.48,129,5
76,3,81.08,3.66,112,5
61,24,96.23,6.36,87,3
81,36,108.58,1.35,114,5
49,21,96.7,6.51,57,2
60,8,99.93,5.8,53,3
66,29,100.35,5.35,95,4
38,12,97.07,9.0,66,1
64,9,99.61,6.1,51,3
90,4,105.71,1.29,35,5
53,22,96.64,9.21,82,2
55,22,96.6,9.11,83,2
37,14,98.65,7.66,72,1
72,7,95.08,5.37,49,4
47,21,99.46,9.25,82,2
56,8,95.99,6.29,88,3
84,37,105.08,1.72,118,5
35,16,97.5,8.39,67,1
79,5,83.45,2.75,38,5
68,7,100.65,5.06,47,4
31,12,97.32,7.17,68,1
51,21,96.72,6.74,56,2
78,37,108.69,1.69,110,5
44,15,98.68,8.38,79,1
75,6,100.13,10.27,46,4
65,8,96.13,5.56,51,3
45,14,97.12,7.82,64,1
69,27,100.69,5.35,47,4
56,26,99.62,6.28,54,3
33,15,97.91,7.63,68,1
